20131409 23:09:27.480 [main] DEBUG TestSuiteConfigParser - Processing configuration file "/var/scratch/yongguo/neo4j_data/testsuite/bfs_10.xml"
20131409 23:09:27.661 [main] INFO  TestSuiteConfigParser - Processing configuration file COMPLETED
20131409 23:09:43.278 [main] INFO  SuiteTool - -------------------- Suite COMPLETED --------------------
20131409 23:09:43.278 [main] INFO  SuiteTool - SUITE: Citation_FCF: BFS (10 RUN)
20131409 23:09:43.893 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.136 [main] INFO  DirectedBFS - Directed BFS Texe = 28243.0 ms
20131410 23:10:12.136 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.136 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.141 [main] INFO  DirectedBFS - Directed BFS Texe = 5.0 ms
20131410 23:10:12.141 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.141 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.145 [main] INFO  DirectedBFS - Directed BFS Texe = 4.0 ms
20131410 23:10:12.145 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.145 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.150 [main] INFO  DirectedBFS - Directed BFS Texe = 5.0 ms
20131410 23:10:12.150 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.150 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.154 [main] INFO  DirectedBFS - Directed BFS Texe = 4.0 ms
20131410 23:10:12.154 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.154 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.162 [main] INFO  DirectedBFS - Directed BFS Texe = 8.0 ms
20131410 23:10:12.162 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.162 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.273 [main] INFO  DirectedBFS - Directed BFS Texe = 111.0 ms
20131410 23:10:12.273 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.273 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.276 [main] INFO  DirectedBFS - Directed BFS Texe = 3.0 ms
20131410 23:10:12.276 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.276 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.279 [main] INFO  DirectedBFS - Directed BFS Texe = 3.0 ms
20131410 23:10:12.279 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.279 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/Citation_FCF
20131410 23:10:12.282 [main] INFO  DirectedBFS - Directed BFS Texe = 3.0 ms
20131410 23:10:12.282 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.354 [main] INFO  GraphJobs - Total Job Runs time Texe = 29.076s
20131410 23:10:12.354 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data ******
20131410 23:10:12.354 [main] INFO  BenchmarkPrinter - elapsed time = | 28243.0 | 5.0 | 4.0 | 5.0 | 4.0 | 8.0 | 111.0 | 3.0 | 3.0 | 3.0
20131410 23:10:12.354 [main] INFO  BenchmarkPrinter - AVG elapsed time = 2.8389
20131410 23:10:12.354 [main] INFO  BenchmarkPrinter - node size = 0.0
20131410 23:10:12.354 [main] INFO  BenchmarkPrinter - edge size = 0.0
20131410 23:10:12.354 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data END ******
20131410 23:10:12.354 [main] INFO  SuiteTool - -------------------- Job Runs COMPLETED --------------------
20131410 23:10:12.354 [main] INFO  SuiteTool - SUITE_END: Happy END
20131410 23:10:12.354 [main] INFO  SuiteTool - -------------------- Suite COMPLETED --------------------
20131410 23:10:12.355 [main] INFO  SuiteTool - SUITE: WikiTalk_FCF: BFS (10 RUN)
20131410 23:10:12.782 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.810 [main] INFO  DirectedBFS - Directed BFS Texe = 28.0 ms
20131410 23:10:12.810 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.810 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.810 [main] INFO  DirectedBFS - Directed BFS Texe = 0.0 ms
20131410 23:10:12.810 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.810 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.810 [main] INFO  DirectedBFS - Directed BFS Texe = 0.0 ms
20131410 23:10:12.810 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.811 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.811 [main] INFO  DirectedBFS - Directed BFS Texe = 0.0 ms
20131410 23:10:12.811 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.811 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.811 [main] INFO  DirectedBFS - Directed BFS Texe = 0.0 ms
20131410 23:10:12.811 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.811 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.811 [main] INFO  DirectedBFS - Directed BFS Texe = 0.0 ms
20131410 23:10:12.811 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.811 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.811 [main] INFO  DirectedBFS - Directed BFS Texe = 0.0 ms
20131410 23:10:12.811 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.811 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.811 [main] INFO  DirectedBFS - Directed BFS Texe = 0.0 ms
20131410 23:10:12.811 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.812 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.812 [main] INFO  DirectedBFS - Directed BFS Texe = 0.0 ms
20131410 23:10:12.812 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.812 [main] INFO  DirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/WikiTalk_FCF
20131410 23:10:12.812 [main] INFO  DirectedBFS - Directed BFS Texe = 0.0 ms
20131410 23:10:12.812 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131410 23:10:12.849 [main] INFO  GraphJobs - Total Job Runs time Texe = 0.494s
20131410 23:10:12.849 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data ******
20131410 23:10:12.849 [main] INFO  BenchmarkPrinter - elapsed time = | 28.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
20131410 23:10:12.849 [main] INFO  BenchmarkPrinter - AVG elapsed time = 0.0028
20131410 23:10:12.849 [main] INFO  BenchmarkPrinter - node size = 0.0
20131410 23:10:12.849 [main] INFO  BenchmarkPrinter - edge size = 0.0
20131410 23:10:12.850 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data END ******
20131410 23:10:12.850 [main] INFO  SuiteTool - -------------------- Job Runs COMPLETED --------------------
20131410 23:10:12.850 [main] INFO  SuiteTool - SUITE_END: Happy END
20131410 23:10:12.850 [main] INFO  SuiteTool - -------------------- Suite COMPLETED --------------------
20131410 23:10:12.850 [main] INFO  SuiteTool - SUITE: KGS_1_FCF: BFS (10 RUN)
20131410 23:10:13.091 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131426 23:26:35.596 [main] INFO  UndirectedBFS - Undirected BFS Texe = 982505.0 ms
20131426 23:26:35.673 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131426 23:26:35.673 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131427 23:27:27.870 [main] INFO  UndirectedBFS - Undirected BFS Texe = 52197.0 ms
20131427 23:27:27.870 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131427 23:27:27.870 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131428 23:28:01.502 [main] INFO  UndirectedBFS - Undirected BFS Texe = 33632.0 ms
20131428 23:28:01.503 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131428 23:28:01.503 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131428 23:28:34.910 [main] INFO  UndirectedBFS - Undirected BFS Texe = 33407.0 ms
20131428 23:28:34.910 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131428 23:28:34.910 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131429 23:29:07.850 [main] INFO  UndirectedBFS - Undirected BFS Texe = 32940.0 ms
20131429 23:29:07.850 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131429 23:29:07.850 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131429 23:29:41.263 [main] INFO  UndirectedBFS - Undirected BFS Texe = 33413.0 ms
20131429 23:29:41.263 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131429 23:29:41.263 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131430 23:30:15.694 [main] INFO  UndirectedBFS - Undirected BFS Texe = 34431.0 ms
20131430 23:30:15.694 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131430 23:30:15.694 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131430 23:30:51.448 [main] INFO  UndirectedBFS - Undirected BFS Texe = 35753.0 ms
20131430 23:30:51.448 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131430 23:30:51.448 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131431 23:31:27.084 [main] INFO  UndirectedBFS - Undirected BFS Texe = 35636.0 ms
20131431 23:31:27.084 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131431 23:31:27.084 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/KGS_1_FCF
20131432 23:32:02.133 [main] INFO  UndirectedBFS - Undirected BFS Texe = 35049.0 ms
20131432 23:32:02.134 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131432 23:32:04.059 [main] INFO  GraphJobs - Total Job Runs time Texe = 1311.209s
20131432 23:32:04.059 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data ******
20131432 23:32:04.059 [main] INFO  BenchmarkPrinter - elapsed time = | 982505.0 | 52197.0 | 33632.0 | 33407.0 | 32940.0 | 33413.0 | 34431.0 | 35753.0 | 35636.0 | 35049.0
20131432 23:32:04.059 [main] INFO  BenchmarkPrinter - AVG elapsed time = 130.8963
20131432 23:32:04.059 [main] INFO  BenchmarkPrinter - node size = 0.0
20131432 23:32:04.059 [main] INFO  BenchmarkPrinter - edge size = 0.0
20131432 23:32:04.059 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data END ******
20131432 23:32:04.060 [main] INFO  SuiteTool - -------------------- Job Runs COMPLETED --------------------
20131432 23:32:04.060 [main] INFO  SuiteTool - SUITE_END: Happy END
20131432 23:32:04.060 [main] INFO  SuiteTool - -------------------- Suite COMPLETED --------------------
20131432 23:32:04.060 [main] INFO  SuiteTool - SUITE: DotaLeague_FCF: BFS (10 RUN)
20131432 23:32:06.152 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131510 01:10:03.439 [main] INFO  UndirectedBFS - Undirected BFS Texe = 5877287.0 ms
20131510 01:10:03.455 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131510 01:10:03.473 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131523 01:23:25.427 [main] INFO  UndirectedBFS - Undirected BFS Texe = 801954.0 ms
20131523 01:23:25.427 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131523 01:23:25.428 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131526 01:26:56.427 [main] INFO  UndirectedBFS - Undirected BFS Texe = 210999.0 ms
20131526 01:26:56.427 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131526 01:26:56.427 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131530 01:30:36.877 [main] INFO  UndirectedBFS - Undirected BFS Texe = 220450.0 ms
20131530 01:30:36.877 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131530 01:30:36.877 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131534 01:34:09.779 [main] INFO  UndirectedBFS - Undirected BFS Texe = 212902.0 ms
20131534 01:34:09.779 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131534 01:34:09.779 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131537 01:37:58.474 [main] INFO  UndirectedBFS - Undirected BFS Texe = 228695.0 ms
20131537 01:37:58.474 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131537 01:37:58.474 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131541 01:41:26.912 [main] INFO  UndirectedBFS - Undirected BFS Texe = 208438.0 ms
20131541 01:41:26.912 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131541 01:41:26.913 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131545 01:45:14.986 [main] INFO  UndirectedBFS - Undirected BFS Texe = 228073.0 ms
20131545 01:45:14.986 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131545 01:45:14.987 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131548 01:48:51.279 [main] INFO  UndirectedBFS - Undirected BFS Texe = 216292.0 ms
20131548 01:48:51.279 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131548 01:48:51.279 [main] INFO  UndirectedBFS - BFS: /var/scratch/yongguo/neo4j_data/DotaLeague_FCF
20131552 01:52:36.649 [main] INFO  UndirectedBFS - Undirected BFS Texe = 225370.0 ms
20131552 01:52:36.650 [main] INFO  StatisticsJob - -------------------- Job COMPLETED --------------------
20131552 01:52:37.304 [main] INFO  GraphJobs - Total Job Runs time Texe = 8433.244s
20131552 01:52:37.304 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data ******
20131552 01:52:37.304 [main] INFO  BenchmarkPrinter - elapsed time = | 5877287.0 | 801954.0 | 210999.0 | 220450.0 | 212902.0 | 228695.0 | 208438.0 | 228073.0 | 216292.0 | 225370.0
20131552 01:52:37.304 [main] INFO  BenchmarkPrinter - AVG elapsed time = 843.046
20131552 01:52:37.304 [main] INFO  BenchmarkPrinter - node size = 0.0
20131552 01:52:37.304 [main] INFO  BenchmarkPrinter - edge size = 0.0
20131552 01:52:37.304 [main] INFO  BenchmarkPrinter - ****** Job Benchmark Data END ******
20131552 01:52:37.304 [main] INFO  SuiteTool - -------------------- Job Runs COMPLETED --------------------
20131552 01:52:37.304 [main] INFO  SuiteTool - SUITE_END: Happy END
20131552 01:52:37.304 [main] INFO  SuiteTool - -------------------- Suite COMPLETED --------------------
20131552 01:52:37.305 [main] INFO  SuiteTool - ## All NEO4J suites are completed ##
20131552 01:52:37.535 [main] INFO  Plotter - Creating plots (if any) ...
20131552 01:52:37.535 [main] INFO  Plotter - Plots (if any) completed
20131552 01:52:37.535 [main] INFO  Plotter - ------------------------
20131552 01:52:37.535 [main] DEBUG TestSuiteRunner - No complex plots defined.
20131552 01:52:37.535 [main] DEBUG TestSuiteRunner - No radar plots defined.
20131552 01:52:37.535 [main] DEBUG TestSuiteRunner - No outliers plots defined.
20131552 01:52:37.535 [main] DEBUG TestSuiteRunner - No combined plots defined.
20131552 01:52:37.535 [main] INFO  TestSuiteRunner - THE END :)
20131552 01:52:37.535 [main] DEBUG TestSuiteRunner - ############# END OF TESTs #############
